0 CF FF FF 5A 5F FF FF                  CD: 70 track: 0   min: 0 sek: A5
B4 BB FF FF 2E AD FF BC                  CD: 4 track: 0   min: 0 sek: D1
B4 2E EC CE AD DC FF BC                  CD: 91 track: 13   min: 31 sek: 52
B4 6D 0 FF FF BC FE FF                  CD: D2 track: FF   min: 0 sek: 0
B4 FD FF FF FE DF BD 78                  CD: 42 track: 0   min: 0 sek: 1
BC 5A 5D FF 7F FF FF B7                  CD: E5 track: A2   min: 0 sek: 80
B4 FF BC FE FF FF 6F BC                  CD: 40 track: 43   min: 1 sek: 0
B4 BB FE FF FF FF 6F BC                  CD: 4 track: 1   min: 0 sek: 0
B4 29 0 FF FF FF FF BC                  CD: 96 track: FF   min: 0 sek: 0
B4 BB FE FF FF FF 6F BC                  CD: 4 track: 1   min: 0 sek: 0
B4 2E EC CE AD DC FF B4                  CD: 91 track: 13   min: 31 sek: 52
B4 FF 6F BC FF FF FF BC                  CD: 40 track: 90   min: 43 sek: 0
FF FF FF BC B4 BB FE FF                  CD: 40 track: 0   min: 43 sek: 4B
B4 8E CE BB FF FF 6F BC                  CD: 31 track: 31   min: 44 sek: 0
B4 BB FE FF FF FF 6F BC                  CD: 4 track: 1   min: 0 sek: 0
B4 2A 0 FF FF FF FF BC                  CD: 95 track: FF   min: 0 sek: 0
B6 5D FF 7F FF FF B7 DE                  CD: E2 track: 0   min: 80 sek: 0
B4 29 0 FF FF FF FF B4                  CD: 96 track: FF   min: 0 sek: 0
B4 FF DE CE AD DC FF BC                  CD: 40 track: 21   min: 31 sek: 52
D9 9D 5B B9 FF 79 69 77                  CD: 22 track: A4   min: 46 sek: 0
B4 0 FF BC FF FF 6F BC                  CD: BF track: 0   min: 43 sek: 0
B4 BB FE FF FF FF 6F BC                  CD: 4 track: 1   min: 0 sek: 0
B4 2B E6 6E 87 D7 FF BC                  CD: 94 track: 19   min: 91 sek: 78
B4 BB FE FF FF FF 6F BC                  CD: 4 track: 1   min: 0 sek: 0
B4 2A 0 FF FF FF FF BC                  CD: 95 track: FF   min: 0 sek: 0
B4 FE 6F FF FF FF FF BC                  CD: 41 track: 90   min: 0 sek: 0
29 0 FF FF FF FF BC B4                  CD: BF track: 0   min: 0 sek: 0
B4 2E EC D5 BC FE FF BC                  CD: 91 track: 13   min: 2A sek: 43
B4 BB FE FF FF FF 6F BC                  CD: 4 track: 1   min: 0 sek: 0
B4 2C E8 8E 98 CF 7F DE                  CD: 93 track: 17   min: 71 sek: 67
B4 BA FE FF FF FF 6F BC                  CD: 5 track: 1   min: 0 sek: 0
B4 2B E6 6E 87 D7 FF BC                  CD: 94 track: 19   min: 91 sek: 78
B4 FF 6F 2A FF FF FF BC                  CD: 40 track: 90   min: D5 sek: 0
B4 2A 0 FF FF FF FF BC                  CD: 95 track: FF   min: 0 sek: 0
B4 29 0 FF BC FE FF BC                  CD: 96 track: FF   min: 0 sek: 43
B4 BA FE FF FF FF 6F BC                  CD: 5 track: 1   min: 0 sek: 0
B4 6D 0 FF FF FF FF BC                  CD: D2 track: FF   min: 0 sek: 0
B4 BA FE FF FF FF 6F BC                  CD: 5 track: 1   min: 0 sek: 0
B4 2C E8 8E 98 CE FF BC                  CD: 93 track: 17   min: 71 sek: 67
B4 BA FF BC 57 7 FF DE                  CD: 5 track: 0   min: 43 sek: A8
B4 2B E6 6E 83 EB FF DE                  CD: 94 track: 19   min: 91 sek: 7C
B4 2A 0 FF FF FF FE FF                  CD: 95 track: FF   min: 0 sek: 0
B4 BA FE FF FF FF 6F BC                  CD: 5 track: 1   min: 0 sek: 0
B4 2E EC CE AD DC FF BC                  CD: 91 track: 13   min: 31 sek: 52
B4 BA FE FF FF FF 6F BC                  CD: 5 track: 1   min: 0 sek: 0
B4 36 80 7F FF FF FF DE                  CD: 89 track: 7F   min: 80 sek: 0
B4 BA FE FF 2C 98 FF BC                  CD: 5 track: 1   min: 0 sek: D3
B4 2C E8 8E 98 CE FF BC                  CD: 93 track: 17   min: 71 sek: 67
B4 2B E6 6E 87 FF FE FF                  CD: 94 track: 19   min: 91 sek: 78
B4 BA FE FF FF FF 6F BC                  CD: 5 track: 1   min: 0 sek: 0
B4 29 0 FF FF FF FF BC                  CD: 96 track: FF   min: 0 sek: 0
B4 BA FE FF FF FF 6F BC                  CD: 5 track: 1   min: 0 sek: 0
B4 2E EC CE AD DC FF BC                  CD: 91 track: 13   min: 31 sek: 52
B4 BA FE FF BC 0 FF BC                  CD: 5 track: 1   min: 0 sek: 43
B4 6D 0 FF FF FF FF BC                  CD: D2 track: FF   min: 0 sek: 0
B4 2C E8 8E 98 CE BC BA                  CD: 93 track: 17   min: 71 sek: 67
B4 FF FF 6F BC D7 FF BC                  CD: 40 track: 0   min: 90 sek: 43
