"timestamp (abs)","sample rate (Hz)","Channel-7","Channel-6","Channel-5","Channel-4","Channel-3","ENABLE","DATA","CLK"
5413,20000,0,0,0,0,0,1,1,1
5414,20000,0,0,0,0,0,1,1,0
5415,20000,0,0,0,0,0,1,1,1
5417,20000,0,0,0,0,0,1,1,0
5418,20000,0,0,0,0,0,1,1,1
5419,20000,0,0,0,0,0,1,1,0
5421,20000,0,0,0,0,0,1,0,1
5422,20000,0,0,0,0,0,1,0,0
5423,20000,0,0,0,0,0,1,0,1
5424,20000,0,0,0,0,0,1,1,1
5425,20000,0,0,0,0,0,1,1,0
5426,20000,0,0,0,0,0,1,1,1
5427,20000,0,0,0,0,0,1,0,0
5429,20000,0,0,0,0,0,1,1,1
5430,20000,0,0,0,0,0,1,1,0
5431,20000,0,0,0,0,0,1,1,1
5433,20000,0,0,0,0,0,1,1,0
5434,20000,0,0,0,0,0,1,1,1
5435,20000,0,0,0,0,0,1,1,0
5437,20000,0,0,0,0,0,1,0,1
5438,20000,0,0,0,0,0,1,0,0
5439,20000,0,0,0,0,0,1,0,1
5440,20000,0,0,0,0,0,1,1,0
5442,20000,0,0,0,0,0,1,1,1
5443,20000,0,0,0,0,0,1,1,0
5444,20000,0,0,0,0,0,1,1,1
5446,20000,0,0,0,0,0,1,1,0
5447,20000,0,0,0,0,0,1,1,1
5448,20000,0,0,0,0,0,1,0,1
5449,20000,0,0,0,0,0,1,0,0
5450,20000,0,0,0,0,0,1,1,1
5451,20000,0,0,0,0,0,1,1,0
5452,20000,0,0,0,0,0,1,1,1
5454,20000,0,0,0,0,0,1,1,0
5455,20000,0,0,0,0,0,1,1,1
5456,20000,0,0,0,0,0,1,0,0
5458,20000,0,0,0,0,0,1,1,1
5459,20000,0,0,0,0,0,1,1,0
5460,20000,0,0,0,0,0,1,1,1
5462,20000,0,0,0,0,0,1,1,0
5463,20000,0,0,0,0,0,1,0,1
5464,20000,0,0,0,0,0,1,0,0
5465,20000,0,0,0,0,0,1,0,1
5466,20000,0,0,0,0,0,1,1,1
5467,20000,0,0,0,0,0,1,1,0
5468,20000,0,0,0,0,0,1,1,1
5469,20000,0,0,0,0,0,1,0,1
5470,20000,0,0,0,0,0,1,0,0
5471,20000,0,0,0,0,0,1,0,1
5472,20000,0,0,0,0,0,1,1,0
5473,20000,0,0,0,0,0,1,1,1
5475,20000,0,0,0,0,0,1,1,0
5476,20000,0,0,0,0,0,1,1,1
5477,20000,0,0,0,0,0,1,0,0
5479,20000,0,0,0,0,0,1,0,1
5480,20000,0,0,0,0,0,1,0,0
5481,20000,0,0,0,0,0,1,0,1
5483,20000,0,0,0,0,0,1,0,0
5484,20000,0,0,0,0,0,1,0,1
5485,20000,0,0,0,0,0,1,0,0
5486,20000,0,0,0,0,0,1,0,1
5490,20000,0,0,0,0,0,1,1,1
5491,20000,0,0,0,0,0,1,1,0
5492,20000,0,0,0,0,0,1,0,1
5493,20000,0,0,0,0,0,1,0,0
5494,20000,0,0,0,0,0,1,0,1
5496,20000,0,0,0,0,0,1,0,0
5497,20000,0,0,0,0,0,1,0,1
5498,20000,0,0,0,0,0,1,1,0
5500,20000,0,0,0,0,0,1,1,1
5501,20000,0,0,0,0,0,1,1,0
5502,20000,0,0,0,0,0,1,1,1
5503,20000,0,0,0,0,0,1,0,0
5505,20000,0,0,0,0,0,1,0,1
5506,20000,0,0,0,0,0,1,0,0
5507,20000,0,0,0,0,0,1,0,1
5508,20000,0,0,0,0,0,1,1,1
5509,20000,0,0,0,0,0,1,1,0
5510,20000,0,0,0,0,0,1,1,1
5512,20000,0,0,0,0,0,1,1,0
5513,20000,0,0,0,0,0,1,0,1
5514,20000,0,0,0,0,0,1,0,0
5515,20000,0,0,0,0,0,1,0,1
5516,20000,0,0,0,0,0,1,1,1
5517,20000,0,0,0,0,0,1,1,0
5518,20000,0,0,0,0,0,1,1,1
5519,20000,0,0,0,0,0,1,1,0
5521,20000,0,0,0,0,0,1,1,1
5522,20000,0,0,0,0,0,1,1,0
5523,20000,0,0,0,0,0,1,1,1
5524,20000,0,0,0,0,0,1,0,1
5525,20000,0,0,0,0,0,1,0,0
5526,20000,0,0,0,0,0,1,0,1
5527,20000,0,0,0,0,0,1,0,0
5528,20000,0,0,0,0,0,1,0,1
5529,20000,0,0,0,0,0,1,1,1
5530,20000,0,0,0,0,0,1,1,0
5531,20000,0,0,0,0,0,1,1,1
5533,20000,0,0,0,0,0,1,1,0
5534,20000,0,0,0,0,0,1,0,1
5535,20000,0,0,0,0,0,1,0,0
5536,20000,0,0,0,0,0,1,0,1
5537,20000,0,0,0,0,0,1,1,1
5538,20000,0,0,0,0,0,1,1,0
5539,20000,0,0,0,0,0,1,1,1
5540,20000,0,0,0,0,0,1,1,0
5542,20000,0,0,0,0,0,1,0,1
5543,20000,0,0,0,0,0,1,0,0
5544,20000,0,0,0,0,0,1,0,1
5546,20000,0,0,0,0,0,1,0,0
5547,20000,0,0,0,0,0,1,1,1
5548,20000,0,0,0,0,0,1,1,0
5549,20000,0,0,0,0,0,1,1,1
5550,20000,0,0,0,0,0,1,0,1
5551,20000,0,0,0,0,0,1,0,0
5552,20000,0,0,0,0,0,1,0,1
5553,20000,0,0,0,0,0,1,1,1
5554,20000,0,0,0,0,0,1,1,0
5555,20000,0,0,0,0,0,1,1,1
5556,20000,0,0,0,0,0,1,0,0
5558,20000,0,0,0,0,0,1,1,1
5559,20000,0,0,0,0,0,1,1,0
5560,20000,0,0,0,0,0,1,1,1
5561,20000,0,0,0,0,0,1,1,0
5563,20000,0,0,0,0,0,1,1,1
5564,20000,0,0,0,0,0,1,1,0
5565,20000,0,0,0,0,0,1,1,1
5566,20000,0,0,0,0,0,1,0,1
5567,20000,0,0,0,0,0,1,0,0
5568,20000,0,0,0,0,0,1,0,1
5569,20000,0,0,0,0,0,1,0,0
5570,20000,0,0,0,0,0,1,0,1
5571,20000,0,0,0,0,0,1,1,1
5572,20000,0,0,0,0,0,1,1,0
5573,20000,0,0,0,0,0,1,1,1
5575,20000,0,0,0,0,0,1,1,0
5576,20000,0,0,0,0,0,1,1,1
5577,20000,0,0,0,0,0,1,0,0
5579,20000,0,0,0,0,0,1,1,1
5580,20000,0,0,0,0,0,1,1,0
5581,20000,0,0,0,0,0,1,1,1
5583,20000,0,0,0,0,0,1,1,0
5584,20000,0,0,0,0,0,1,0,1
5585,20000,0,0,0,0,0,1,0,0
5586,20000,0,0,0,0,0,1,0,1
5588,20000,0,0,0,0,0,1,0,0
5589,20000,0,0,0,0,0,1,0,1
5590,20000,0,0,0,0,0,1,1,0
5592,20000,0,0,0,0,0,1,0,1
5593,20000,0,0,0,0,0,1,0,0
5594,20000,0,0,0,0,0,1,0,1
5595,20000,0,0,0,0,0,1,1,1
5596,20000,0,0,0,0,0,1,1,0
5597,20000,0,0,0,0,0,1,1,1
5598,20000,0,0,0,0,0,1,1,0
5600,20000,0,0,0,0,0,1,0,1
5601,20000,0,0,0,0,0,1,0,0
5602,20000,0,0,0,0,0,1,0,1
5603,20000,0,0,0,0,0,1,0,0
5605,20000,0,0,0,0,0,1,1,1
5606,20000,0,0,0,0,0,1,1,0
5607,20000,0,0,0,0,0,1,1,1
5609,20000,0,0,0,0,0,1,1,0
5610,20000,0,0,0,0,0,1,1,1
5611,20000,0,0,0,0,0,1,1,0
5613,20000,0,0,0,0,0,1,0,1
5614,20000,0,0,0,0,0,1,0,0
5615,20000,0,0,0,0,0,1,0,1
5616,20000,0,0,0,0,0,1,1,1
5617,20000,0,0,0,0,0,1,1,0
5618,20000,0,0,0,0,0,1,1,1
5619,20000,0,0,0,0,0,1,1,0
5621,20000,0,0,0,0,0,1,0,1
5622,20000,0,0,0,0,0,1,0,0
5623,20000,0,0,0,0,0,1,0,1
5624,20000,0,0,0,0,0,1,1,1
5625,20000,0,0,0,0,0,1,1,0
5626,20000,0,0,0,0,0,1,0,1
5627,20000,0,0,0,0,0,1,0,0
5628,20000,0,0,0,0,0,1,0,1
5630,20000,0,0,0,0,0,1,0,0
5631,20000,0,0,0,0,0,1,0,1
5632,20000,0,0,0,0,0,1,1,0
5634,20000,0,0,0,0,0,1,0,1
5635,20000,0,0,0,0,0,1,0,0
5636,20000,0,0,0,0,0,1,0,1
5637,20000,0,0,0,0,0,1,1,1
5638,20000,0,0,0,0,0,1,1,0
5639,20000,0,0,0,0,0,1,1,1
5640,20000,0,0,0,0,0,1,1,0
5642,20000,0,0,0,0,0,1,0,1
5643,20000,0,0,0,0,0,1,0,0
5644,20000,0,0,0,0,0,1,0,1
5646,20000,0,0,0,0,0,1,0,0
5647,20000,0,0,0,0,0,1,1,1
5648,20000,0,0,0,0,0,1,1,0
5649,20000,0,0,0,0,0,1,1,1
5651,20000,0,0,0,0,0,1,1,0
5652,20000,0,0,0,0,0,1,1,1
5653,20000,0,0,0,0,0,1,1,0
5655,20000,0,0,0,0,0,1,0,1
5656,20000,0,0,0,0,0,1,0,0
5657,20000,0,0,0,0,0,1,0,1
5661,20000,0,0,0,0,0,1,1,0
5663,20000,0,0,0,0,0,1,1,1
5664,20000,0,0,0,0,0,1,1,0
5665,20000,0,0,0,0,0,1,1,1
5666,20000,0,0,0,0,0,1,0,1
5667,20000,0,0,0,0,0,1,0,0
5668,20000,0,0,0,0,0,1,1,1
5669,20000,0,0,0,0,0,1,1,0
5670,20000,0,0,0,0,0,1,1,1
5672,20000,0,0,0,0,0,1,1,0
5673,20000,0,0,0,0,0,1,1,1
5674,20000,0,0,0,0,0,1,1,0
5676,20000,0,0,0,0,0,1,1,1
5677,20000,0,0,0,0,0,1,1,0
5678,20000,0,0,0,0,0,1,1,1
5680,20000,0,0,0,0,0,1,1,0
5681,20000,0,0,0,0,0,1,1,1
5683,20000,0,0,0,0,0,1,1,0
5684,20000,0,0,0,0,0,1,1,1
5685,20000,0,0,0,0,0,1,1,0
5686,20000,0,0,0,0,0,1,1,1
5687,20000,0,0,0,0,0,1,0,1
5688,20000,0,0,0,0,0,1,0,0
5689,20000,0,0,0,0,0,1,0,1
5690,20000,0,0,0,0,0,1,1,0
5692,20000,0,0,0,0,0,1,1,1
5693,20000,0,0,0,0,0,1,1,0
5694,20000,0,0,0,0,0,1,1,1
5696,20000,0,0,0,0,0,1,1,0
5697,20000,0,0,0,0,0,1,1,1
5698,20000,0,0,0,0,0,1,1,0
5699,20000,0,0,0,0,0,1,1,1
5701,20000,0,0,0,0,0,1,1,0
5702,20000,0,0,0,0,0,1,1,1
5704,20000,0,0,0,0,0,1,1,0
5705,20000,0,0,0,0,0,1,1,1
5706,20000,0,0,0,0,0,1,1,0
5708,20000,0,0,0,0,0,1,0,1
5709,20000,0,0,0,0,0,1,0,0
5710,20000,0,0,0,0,0,1,0,1
5711,20000,0,0,0,0,0,1,1,0
5713,20000,0,0,0,0,0,1,1,1
5714,20000,0,0,0,0,0,1,1,0
5715,20000,0,0,0,0,0,1,1,1
5717,20000,0,0,0,0,0,1,1,0
5718,20000,0,0,0,0,0,1,1,1
5719,20000,0,0,0,0,0,1,1,0
5721,20000,0,0,0,0,0,1,1,1
5722,20000,0,0,0,0,0,1,1,0
5723,20000,0,0,0,0,0,1,1,1
5727,20000,0,0,0,0,0,1,1,0
5728,20000,0,0,0,0,0,1,1,1
5729,20000,0,0,0,0,0,1,1,0
5731,20000,0,0,0,0,0,1,0,1
5732,20000,0,0,0,0,0,1,0,0
5733,20000,0,0,0,0,0,1,0,1
5734,20000,0,0,0,0,0,1,1,0
5736,20000,0,0,0,0,0,1,1,1
5737,20000,0,0,0,0,0,1,1,0
5738,20000,0,0,0,0,0,1,1,1
5739,20000,0,0,0,0,0,1,0,1
5740,20000,0,0,0,0,0,1,0,0
5741,20000,0,0,0,0,0,1,0,1
5742,20000,0,0,0,0,0,1,1,0
5744,20000,0,0,0,0,0,1,0,1
5745,20000,0,0,0,0,0,1,0,0
5746,20000,0,0,0,0,0,1,0,1
5747,20000,0,0,0,0,0,0,1,1
6193,20000,0,0,0,0,0,1,1,1
6195,20000,0,0,0,0,0,0,1,1
6197,20000,0,0,0,0,0,1,1,1
6198,20000,0,0,0,0,0,1,0,1
6199,20000,0,0,0,0,0,1,0,0
6200,20000,0,0,0,0,0,1,0,1
6202,20000,0,0,0,0,0,1,0,0
6203,20000,0,0,0,0,0,1,0,1
6204,20000,0,0,0,0,0,1,0,0
6206,20000,0,0,0,0,0,1,0,1
6207,20000,0,0,0,0,0,1,0,0
6208,20000,0,0,0,0,0,1,0,1
6209,20000,0,0,0,0,0,1,1,0
6211,20000,0,0,0,0,0,1,1,1
6212,20000,0,0,0,0,0,1,1,0
6213,20000,0,0,0,0,0,1,1,1
6215,20000,0,0,0,0,0,1,1,0
6216,20000,0,0,0,0,0,1,1,1
6217,20000,0,0,0,0,0,1,1,0
6219,20000,0,0,0,0,0,1,1,1
6220,20000,0,0,0,0,0,1,1,0
6221,20000,0,0,0,0,0,1,1,1
6223,20000,0,0,0,0,0,1,1,0
6224,20000,0,0,0,0,0,1,1,1
6225,20000,0,0,0,0,0,1,0,0
6227,20000,0,0,0,0,0,1,1,1
6228,20000,0,0,0,0,0,1,1,0
6229,20000,0,0,0,0,0,1,1,1
6231,20000,0,0,0,0,0,1,1,0
6232,20000,0,0,0,0,0,1,1,1
6233,20000,0,0,0,0,0,1,1,0
6234,20000,0,0,0,0,0,1,1,1
6236,20000,0,0,0,0,0,1,1,0
6237,20000,0,0,0,0,0,1,1,1
6238,20000,0,0,0,0,0,1,1,0
6240,20000,0,0,0,0,0,1,1,1
6241,20000,0,0,0,0,0,1,1,0
6243,20000,0,0,0,0,0,1,1,1
6244,20000,0,0,0,0,0,1,1,0
6245,20000,0,0,0,0,0,1,1,1
6246,20000,0,0,0,0,0,1,0,0
6248,20000,0,0,0,0,0,1,1,1
6249,20000,0,0,0,0,0,1,1,0
6250,20000,0,0,0,0,0,1,1,1
6252,20000,0,0,0,0,0,1,1,0
6253,20000,0,0,0,0,0,1,1,1
6254,20000,0,0,0,0,0,1,1,0
6256,20000,0,0,0,0,0,1,1,1
6257,20000,0,0,0,0,0,1,1,0
6258,20000,0,0,0,0,0,1,1,1
6260,20000,0,0,0,0,0,1,1,0
6261,20000,0,0,0,0,0,1,1,1
6262,20000,0,0,0,0,0,1,1,0
6264,20000,0,0,0,0,0,1,1,1
6265,20000,0,0,0,0,0,1,1,0
6266,20000,0,0,0,0,0,1,1,1
6267,20000,0,0,0,0,0,1,0,1
6268,20000,0,0,0,0,0,1,0,0
6269,20000,0,0,0,0,0,1,0,1
6270,20000,0,0,0,0,0,1,1,0
6272,20000,0,0,0,0,0,1,1,1
6273,20000,0,0,0,0,0,1,1,0
6274,20000,0,0,0,0,0,1,1,1
6275,20000,0,0,0,0,0,1,1,0
6277,20000,0,0,0,0,0,1,1,1
6278,20000,0,0,0,0,0,1,1,0
6279,20000,0,0,0,0,0,1,1,1
6281,20000,0,0,0,0,0,1,1,0
6282,20000,0,0,0,0,0,1,1,1
6284,20000,0,0,0,0,0,1,1,0
6285,20000,0,0,0,0,0,1,1,1
6286,20000,0,0,0,0,0,1,1,0
6287,20000,0,0,0,0,0,1,1,1
6288,20000,0,0,0,0,0,1,0,1
6289,20000,0,0,0,0,0,1,0,0
6290,20000,0,0,0,0,0,1,0,1
6291,20000,0,0,0,0,0,1,0,0
6293,20000,0,0,0,0,0,1,0,1
6294,20000,0,0,0,0,0,1,0,0
6295,20000,0,0,0,0,0,1,0,1
6296,20000,0,0,0,0,0,1,1,1
6297,20000,0,0,0,0,0,1,1,0
6298,20000,0,0,0,0,0,1,1,1
6299,20000,0,0,0,0,0,1,1,0
6300,20000,0,0,0,0,0,1,1,1
6302,20000,0,0,0,0,0,1,1,0
6303,20000,0,0,0,0,0,1,1,1
6307,20000,0,0,0,0,0,1,1,0
6308,20000,0,0,0,0,0,1,1,1
6310,20000,0,0,0,0,0,1,1,0
6311,20000,0,0,0,0,0,1,1,1
6312,20000,0,0,0,0,0,1,0,0
6314,20000,0,0,0,0,0,1,0,1
6315,20000,0,0,0,0,0,1,0,0
6316,20000,0,0,0,0,0,1,0,1
6317,20000,0,0,0,0,0,1,0,0
6319,20000,0,0,0,0,0,1,1,1
6320,20000,0,0,0,0,0,1,1,0
6321,20000,0,0,0,0,0,1,1,1
6323,20000,0,0,0,0,0,1,1,0
6324,20000,0,0,0,0,0,1,1,1
6325,20000,0,0,0,0,0,1,0,0
6327,20000,0,0,0,0,0,1,0,1
6328,20000,0,0,0,0,0,1,1,0
6329,20000,0,0,0,0,0,1,1,1
6331,20000,0,0,0,0,0,1,1,0
6332,20000,0,0,0,0,0,1,1,1
6333,20000,0,0,0,0,0,1,0,0
6335,20000,0,0,0,0,0,1,1,1
6336,20000,0,0,0,0,0,1,1,0
6337,20000,0,0,0,0,0,1,1,1
6338,20000,0,0,0,0,0,1,0,1
6339,20000,0,0,0,0,0,1,0,0
6340,20000,0,0,0,0,0,1,0,1
6341,20000,0,0,0,0,0,1,0,0
6342,20000,0,0,0,0,0,1,0,1
6344,20000,0,0,0,0,0,1,0,0
6345,20000,0,0,0,0,0,1,0,1
6346,20000,0,0,0,0,0,1,1,0
